timestamp,message_type,src_system,src_component,payload_json
1776972286.0963287,AHRS2,1,1,"{""mavpackettype"": ""AHRS2"", ""roll"": -0.001589963329024613, ""pitch"": -0.0017914898926392198, ""yaw"": 0.0029420414939522743, ""altitude"": 0.20999999344348907, ""lat"": -353633516, ""lng"": 1491652412}"
1776972286.096889,ATTITUDE,1,1,"{""mavpackettype"": ""ATTITUDE"", ""time_boot_ms"": 1685224, ""roll"": -0.0011679907329380512, ""pitch"": -0.0013693334767594934, ""yaw"": -0.013976017944514751, ""rollspeed"": -0.00024135725107043982, ""pitchspeed"": -0.00027377938386052847, ""yawspeed"": -0.0007363682379946113}"
1776972286.0976136,VFR_HUD,1,1,"{""mavpackettype"": ""VFR_HUD"", ""airspeed"": 0.4656863808631897, ""groundspeed"": 0.027578456327319145, ""heading"": 359, ""throttle"": 0, ""alt"": 0.08999999612569809, ""climb"": 0.004178137052804232}"
1776972286.0979702,SIMSTATE,1,1,"{""mavpackettype"": ""SIMSTATE"", ""roll"": 0.0, ""pitch"": 0.0, ""yaw"": 0.00010003882925957441, ""xacc"": -3.176373552203626e-20, ""yacc"": 1.0932397300569183e-23, ""zacc"": -9.806650161743164, ""xgyro"": 0.0, ""ygyro"": 0.0, ""zgyro"": 4.3655745685100555e-09, ""lat"": -353633516, ""lng"": 1491652412}"
1776972286.098319,AOA_SSA,1,1,"{""mavpackettype"": ""AOA_SSA"", ""time_usec"": 1685224807, ""AOA"": 0.0, ""SSA"": 0.0}"
1776972286.0986507,ESC_TELEMETRY_1_TO_4,1,1,"{""mavpackettype"": ""ESC_TELEMETRY_1_TO_4"", ""temperature"": [0, 0, 32, 0], ""voltage"": [0, 0, 1679, 0], ""current"": [0, 0, 80, 0], ""totalcurrent"": [0, 0, 1, 0], ""rpm"": [0, 0, 0, 0], ""count"": [0, 0, 18426, 0]}"
1776972286.3459089,AHRS,1,1,"{""mavpackettype"": ""AHRS"", ""omegaIx"": -0.001896579866297543, ""omegaIy"": -0.001951998216100037, ""omegaIz"": -0.002370375907048583, ""accel_weight"": 0.0, ""renorm_val"": 0.0, ""error_rp"": 0.0023819450289011, ""error_yaw"": 0.0014881255337968469}"
1776972286.346513,GLOBAL_POSITION_INT,1,1,"{""mavpackettype"": ""GLOBAL_POSITION_INT"", ""time_boot_ms"": 1685464, ""lat"": -353633515, ""lon"": 1491652411, ""alt"": 90, ""relative_alt"": -3, ""vx"": 1, ""vy"": -2, ""vz"": 0, ""hdg"": 35920}"
1776972286.3468835,SYS_STATUS,1,1,"{""mavpackettype"": ""SYS_STATUS"", ""onboard_control_sensors_present"": 325188671, ""onboard_control_sensors_enabled"": 308379711, ""onboard_control_sensors_health"": 326205503, ""load"": 0, ""voltage_battery"": 12600, ""current_battery"": 0, ""battery_remaining"": 99, ""drop_rate_comm"": 0, ""errors_comm"": 0, ""errors_count1"": 0, ""errors_count2"": 0, ""errors_count3"": 0, ""errors_count4"": 0}"
1776972286.3472743,POWER_STATUS,1,1,"{""mavpackettype"": ""POWER_STATUS"", ""Vcc"": 5000, ""Vservo"": 0, ""flags"": 0}"
1776972286.347606,MEMINFO,1,1,"{""mavpackettype"": ""MEMINFO"", ""brkval"": 0, ""freemem"": 65535, ""freemem32"": 524288}"
1776972286.3479266,MISSION_CURRENT,1,1,"{""mavpackettype"": ""MISSION_CURRENT"", ""seq"": 0, ""total"": 0, ""mission_state"": 1, ""mission_mode"": 0}"
